Task,Method,AUC-ROC,AUC 95% CI,F1,F1 95% CI
qa,ROUGE-L,0.8177,"[0.797, 0.838]",0.7267,"[0.703, 0.751]"
qa,Sem. Similarity,0.7362,"[0.715, 0.757]",0.6747,"[0.650, 0.698]"
qa,BERTScore,0.8207,"[0.802, 0.838]",0.7328,"[0.711, 0.755]"
qa,NLI,0.7947,"[0.774, 0.816]",0.7248,"[0.700, 0.749]"
qa,Ensemble (Sim+NLI),0.8727,"[0.858, 0.888]",0.7919,"[0.771, 0.811]"
dialogue,ROUGE-L,0.6117,"[0.586, 0.638]",0.6067,"[0.582, 0.631]"
dialogue,Sem. Similarity,0.6563,"[0.632, 0.679]",0.5438,"[0.515, 0.571]"
dialogue,BERTScore,0.6369,"[0.614, 0.661]",0.6381,"[0.615, 0.660]"
dialogue,NLI,0.7137,"[0.692, 0.735]",0.6786,"[0.657, 0.700]"
dialogue,Ensemble (Sim+NLI),0.7494,"[0.729, 0.770]",0.6934,"[0.672, 0.716]"
summarisation,ROUGE-L,0.5632,"[0.538, 0.588]",0.5679,"[0.542, 0.593]"
summarisation,Sem. Similarity,0.5281,"[0.503, 0.553]",0.6272,"[0.605, 0.649]"
summarisation,BERTScore,0.4681,"[0.442, 0.493]",0.6575,"[0.637, 0.677]"
summarisation,NLI,0.5673,"[0.542, 0.592]",0.6094,"[0.586, 0.633]"
summarisation,Ensemble (Sim+NLI),0.5739,"[0.549, 0.598]",0.5179,"[0.490, 0.545]"
